                           h                    analytic                     3 point                     5 point
      0.2000000000000000E+00      0.2691134105994275E+01      0.2688543000739190E+01      0.2691154170470818E+01
      0.2020000000000000E+00      0.2691134105994275E+01      0.2688490816082426E+01      0.2691154981136259E+01
      0.2040200000000000E+00      0.2691134105994275E+01      0.2688437578323606E+01      0.2691155824472076E+01
      0.2060602000000000E+00      0.2691134105994275E+01      0.2688383266123793E+01      0.2691156701787144E+01
      0.2081208020000000E+00      0.2691134105994275E+01      0.2688327857710850E+01      0.2691157614445928E+01
      0.2102020100200000E+00      0.2691134105994275E+01      0.2688271330866539E+01      0.2691158563865543E+01
      0.2123040301202000E+00      0.2691134105994275E+01      0.2688213662920563E+01      0.2691159551522158E+01
      0.2144270704214020E+00      0.2691134105994275E+01      0.2688154830738485E+01      0.2691160578949928E+01
      0.2165713411256160E+00      0.2691134105994275E+01      0.2688094810709929E+01      0.2691161647739889E+01
      0.2187370545368722E+00      0.2691134105994275E+01      0.2688033578744094E+01      0.2691162759550022E+01
      0.2209244250822409E+00      0.2691134105994275E+01      0.2687971110259942E+01      0.2691163916108016E+01
      0.2231336693330633E+00      0.2691134105994275E+01      0.2687907380168153E+01      0.2691165119202981E+01
      0.2253650060263939E+00      0.2691134105994275E+01      0.2687842362868763E+01      0.2691166370699786E+01
      0.2276186560866579E+00      0.2691134105994275E+01      0.2687776032236730E+01      0.2691167672536040E+01
      0.2298948426475245E+00      0.2691134105994275E+01      0.2687708361611669E+01      0.2691169026726374E+01
      0.2321937910739997E+00      0.2691134105994275E+01      0.2687639323786810E+01      0.2691170435365715E+01
      0.2345157289847397E+00      0.2691134105994275E+01      0.2687568890997552E+01      0.2691171900632011E+01
      0.2368608862745871E+00      0.2691134105994275E+01      0.2687497034909750E+01      0.2691173424789730E+01
      0.2392294951373330E+00      0.2691134105994275E+01      0.2687423726607741E+01      0.2691175010192944E+01
      0.2416217900887063E+00      0.2691134105994275E+01      0.2687348936581894E+01      0.2691176659288588E+01
      0.2440380079895934E+00      0.2691134105994275E+01      0.2687272634717801E+01      0.2691178374622286E+01
      0.2464783880694893E+00      0.2691134105994275E+01      0.2687194790281127E+01      0.2691180158838940E+01
      0.2489431719501842E+00      0.2691134105994275E+01      0.2687115371906501E+01      0.2691182014688796E+01
      0.2514326036696861E+00      0.2691134105994275E+01      0.2687034347582841E+01      0.2691183945030095E+01
      0.2539469297063829E+00      0.2691134105994275E+01      0.2686951684639783E+01      0.2691185952832954E+01
      0.2564863990034468E+00      0.2691134105994275E+01      0.2686867349738237E+01      0.2691188041189947E+01
      0.2590512629934812E+00      0.2691134105994275E+01      0.2686781308848475E+01      0.2691190213309951E+01
      0.2616417756234161E+00      0.2691134105994275E+01      0.2686693527241574E+01      0.2691192472531051E+01
      0.2642581933796502E+00      0.2691134105994275E+01      0.2686603969473917E+01      0.2691194822324379E+01
