  Protons  Valley of Stability Position  Drip-Line Positions 
         1               2                     2
         2               2                     2
         3               4                     4
         4               4                     6
         5               6                     8
         6               6                    10
         7               8                    12
         8              10                    14
         9              10                    16
        10              12                    18
        11              12                    20
        12              14                    22
        13              16                    24
        14              16                    26
        15              18                    28
        16              18                    30
        17              20                    32
        18              22                    34
        19              22                    36
        20              24                    40
        21              26                    42
        22              26                    44
        23              28                    46
        24              28                    48
        25              30                    50
        26              32                    52
        27              32                    54
        28              34                    56
        29              36                    60
        30              36                    62
        31              38                    64
        32              40                    66
        33              40                    68
        34              42                    70
        35              44                    72
        36              44                    74
        37              46                    78
        38              48                    80
        39              50                    82
        40              50                    84
        41              52                    86
        42              54                    88
        43              54                    92
        44              56                    94
        45              58                    96
        46              58                    98
        47              60                   100
        48              62                   102
        49              64                   106
        50              64                   108
        51              66                   110
        52              68                   112
        53              70                   114
        54              70                   118
        55              72                   120
        56              74                   122
        57              74                   124
        58              76                   126
        59              78                   130
        60              80                   132
        61              80                   134
        62              82                   136
        63              84                   138
        64              86                   142
        65              88                   144
        66              88                   146
        67              90                   148
        68              92                   150
        69              94                   154
        70              94                   156
        71              96                   158
        72              98                   160
        73             100                   164
        74             102                   166
        75             102                   168
        76             104                   170
        77             106                   174
        78             108                   176
        79             110                   178
        80             110                   180
        81             112                   184
        82             114                   186
        83             116                   188
        84             118                   190
        85             120                   194
        86             120                   196
        87             122                   198
        88             124                   200
        89             126                   204
        90             128                   206
        91             130                   208
        92             130                   210
        93             132                   214
        94             134                   216
        95             136                   218
        96             138                   220
        97             140                   224
        98             140                   226
        99             142                   228
       100             144                   232
       101             146                   234
       102             148                   236
       103             150                   238
       104             152                   242
       105             154                   244
       106             154                   246
       107             156                   250
       108             158                   252
       109             160                   254
       110             162                   256
       111             164                   260
       112             166                   262
       113             168                   264
       114             170                   268
       115             172                   270
       116             172                   272
       117             174                   276
       118             176                   278
