  Protons  Neutrons  Experimental Binding Energy  Experimental Error  Theoretical Binding Energy  Theoretical Error 
       1         1          -0.222455E+01               0.100000E-05                   0.318708E+01                       0.747707E-06
       1         2          -0.848178E+01               0.100000E-05                  -0.264037E+01                       0.152831E-06
       1         3          -0.688178E+01               0.100000E+00                   0.896048E+01                       0.507501E-06
       1         4          -0.668178E+01               0.894450E-01                   0.151776E+02                       0.315744E-06
       1         5          -0.576982E+01               0.254124E+00                   0.293374E+02                       0.537479E-06
       1         6          -0.657999E+01               0.100100E+01                   0.382161E+02                       0.505094E-06
       2         1          -0.771796E+01               0.100000E-05                  -0.165556E+01                       0.155433E-06
       2         2          -0.282956E+02               0.100000E-05                  -0.214036E+02                       0.440180E-06
       2         3          -0.275606E+02               0.200000E-01                  -0.214022E+02                       0.169141E-06
       2         4          -0.292710E+02               0.540000E-04                  -0.224558E+02                       0.367725E-06
       2         5          -0.288613E+02               0.756000E-02                  -0.144850E+02                       0.280307E-06
       2         6          -0.313961E+02               0.880000E-04                  -0.982085E+01                       0.418851E-06
       2         7          -0.301413E+02               0.468180E-01                   0.772065E+00                       0.431828E-06
       2         8          -0.299513E+02               0.928500E-01                   0.787616E+01                       0.544266E-06
       3         1          -0.461484E+01               0.212132E+00                   0.116448E+02                       0.510933E-06
       3         2          -0.263305E+02               0.500000E-01                  -0.197410E+02                       0.173524E-06
       3         3          -0.319938E+02               0.100000E-05                  -0.306685E+02                       0.377277E-06
       3         4          -0.392449E+02               0.700000E-05                  -0.397217E+02                       0.182540E-06
       3         5          -0.412775E+02               0.480000E-04                  -0.387890E+02                       0.354437E-06
       3         6          -0.453397E+02               0.189000E-03                  -0.394295E+02                       0.263241E-06
       3         7          -0.453133E+02               0.127200E-01                  -0.336064E+02                       0.404305E-06
       3         8          -0.457090E+02               0.616000E-03                  -0.302173E+02                       0.385587E-06
       3         9          -0.454990E+02               0.300120E-01                  -0.219967E+02                       0.508567E-06
       3        10          -0.455990E+02               0.700050E-01                  -0.163870E+02                       0.531685E-06
       4         1          -0.896030E-01               0.200500E+01                   0.201613E+02                       0.327957E-06
       4         2          -0.269231E+02               0.544800E-02                  -0.185476E+02                       0.373304E-06
       4         3          -0.376004E+02               0.700000E-04                  -0.374943E+02                       0.188361E-06
       4         4          -0.564991E+02               0.320000E-04                  -0.530331E+02                       0.296101E-06
       4         5          -0.581636E+02               0.810000E-04                  -0.581646E+02                       0.192380E-06
       4         6          -0.649759E+02               0.800000E-04                  -0.636485E+02                       0.288736E-06
       4         7          -0.654775E+02               0.242000E-03                  -0.623109E+02                       0.253153E-06
       4         8          -0.686483E+02               0.190800E-02                  -0.625604E+02                       0.337565E-06
