    x             ground state                1st excited            2nd excited   
  -20.000000000000000        2.0539879100535411E-025   1.5568985340433466E-018   2.8851310786318904E-006
  -19.899749373433583        8.3810449077531419E-025   6.2904892604450869E-018   1.1540126040366742E-005
  -19.799498746867169        1.9498291538952795E-024   1.4391986578146438E-017   2.5963790117712907E-005
  -19.699248120300751        3.6297979356752929E-024   2.6188655277786341E-017   4.6154132214757736E-005
  -19.598997493734338        6.0230127852334879E-024   4.2157025251795283E-017   7.2108365182061099E-005
  -19.498746867167920        9.3136264454468812E-024   6.2942139846137539E-017   1.0382290620135279E-004
  -19.398496240601503        1.3776416045383893E-023   8.9383649794201800E-017   1.4129337728017253E-004
  -19.298245614035089        1.9778186785344307E-023   1.2254966432202661E-016   1.8451460585619008E-004
  -19.197994987468672        2.7799550511607406E-023   1.6377993847589993E-016   2.3348062551122612E-004
  -19.097744360902254        3.8507451336745205E-023   2.1473996978554932E-016   2.8818467679498196E-004
  -18.997493734335841        5.2779712322745736E-023   2.7748834818706432E-016   3.4861920815797549E-004
  -18.897243107769423        7.1765983303688977E-023   3.5455980690492048E-016   4.1477587699414618E-004
  -18.796992481203006        9.7025288453911056E-023   4.4906773878356794E-016   4.8664555079232067E-004
  -18.696741854636592        1.3062084702954456E-022   5.6482979332457194E-016   5.6421830839712274E-004
  -18.596491228070175        1.7531520059691067E-022   7.0652222153488754E-016   6.4748344137836064E-004
  -18.496240601503761        2.3474421120677658E-022   8.7986881842978179E-016   7.3642945550931520E-004
  -18.395989974937343        3.1374722273045388E-022   1.0918719930794382E-015   8.3104407235336936E-004
  -18.295739348370926        4.1878813206189840E-022   1.3510957598295822E-015   9.3131423095912003E-004
  -18.195488721804512        5.5850099081076340E-022   1.6680115723847216E-015   1.0372260896631973E-003
  -18.095238095238095        7.4423737616118935E-022   2.0554213813978709E-015   1.1487650280011920E-003
  -17.994987468671681        9.9123734729849756E-022   2.5289748541079203E-015   1.2659156487257813E-003
  -17.894736842105264        1.3196010467849710E-021   3.1078014826345661E-015   1.3886617799321931E-003
  -17.794486215538846        1.7561461628434462E-021   3.8152832348336325E-015   1.5169864772907442E-003
  -17.694235588972433        2.3366832676855634E-021   4.6799992320530504E-015   1.6508720263859941E-003
  -17.593984962406015        3.1085784058125664E-021   5.7368801271918076E-015   1.7902999451617273E-003
  -17.493734335839598        4.1347356809062800E-021   7.0286192781708110E-015   1.9352509864727799E-003
  -17.393483709273184        5.4992547799233424E-021   8.6073969965339463E-015   2.0857051407415289E-003
  -17.293233082706767        7.3135742947225419E-021   1.0536989167375718E-014   2.2416416387204146E-003
  -17.192982456140349        9.7259357355543077E-021   1.2895342662831010E-014   2.4030389543588872E-003
  -17.092731829573935        1.2933302169181924E-020   1.5777724039300880E-014   2.5698748077748810E-003
  -16.992481203007518        1.7197854809795903E-020   1.9300569245803399E-014   2.7421261683305462E-003
  -16.892230576441104        2.2868186573302370E-020   2.3606185067326617E-014   2.9197692578113439E-003
  -16.791979949874687        3.0407494696978935E-020   2.8868499658325422E-014   3.1027795537085907E-003
  -16.691729323308270        4.0431686105467551E-020   3.5300086770042813E-014   3.2911317926044964E-003
  -16.591478696741856        5.3759995854711433E-020   4.3160753641799618E-014   3.4847999736598856E-003
  -16.491228070175438        7.1481509563370739E-020   5.2768037026388008E-014   3.6837573622032151E-003
  -16.390977443609025        9.5044342282919561E-020   6.4510027394649525E-014   3.8879764934209335E-003
  -16.290726817042607        1.2637373897350970E-019   7.8861049458898954E-014   4.0974291761494974E-003
  -16.190476190476190        1.6802903625993584E-019   9.6400820530518452E-014   4.3120864967663135E-003
  -16.090225563909776        2.2341507444717473E-019   1.1783786914002617E-013   4.5319188231814581E-003
  -15.989974937343359        2.9705682296630642E-019   1.4403815601527203E-013   4.7568958089278732E-003
  -15.889724310776943        3.9497191155658340E-019   1.7606005746969411E-013   4.9869863973510016E-003
  -15.789473684210527        5.2515909384625768E-019   2.1519711424704088E-013   5.2221588258955466E-003
  -15.689223057644110        6.9826044292039466E-019   2.6303028947011759E-013   5.4623806304900692E-003
  -15.588972431077694        9.2841603356062726E-019   3.2149183085603900E-013   5.7076186500286475E-003
  -15.488721804511279        1.2344327510631830E-018   3.9294332419325883E-013   5.9578390309489651E-003
  -15.388471177944862        1.6413168405058302E-018   4.8027109035271001E-013   6.2130072319043468E-003
  -15.288220551378446        2.1823132027439377E-018   5.8700278392048820E-013   6.4730880285332002E-003
  -15.187969924812030        2.9016284820685607E-018   7.1744988812898429E-013   6.7380455183212026E-003
  -15.087719298245615        3.8580401079616025E-018   8.7688188589899261E-013   7.0078431255569092E-003
  -14.987468671679199        5.1296929032027018E-018   1.0717391202549931E-012   7.2824436063814611E-003
  -14.887218045112782        6.8204906808389994E-018   1.3098929549019330E-012   7.5618090539293862E-003
  -14.786967418546366        9.0685986380530154E-018   1.6009637427506879E-012   7.8459009035615548E-003
  -14.686716791979951        1.2057714205990592E-017   1.9567094485291878E-012   8.1346799381892786E-003
  -14.586466165413533        1.6032063157091669E-017   2.3915006139165302E-012   8.4281062936870065E-003
  -14.486215538847118        2.1316401146536271E-017   2.9229008645018034E-012   8.7261394643959045E-003
  -14.385964912280702        2.8342514141026683E-017   3.5723764037766124E-012   9.0287383087155598E-003
  -14.285714285714286        3.7684513137819308E-017   4.3661631525280702E-012   9.3358610547831598E-003
  -14.185463659147871        5.0105727393473402E-017   5.3363265559490621E-012   9.6474653062393074E-003
  -14.085213032581454        6.6621107641731504E-017   6.5220568901982575E-012   9.9635080480815763E-003
  -13.984962406015038        8.8580130869341102E-017   7.9712523900241616E-012   1.0283945652601533E-002
  -13.884711779448622        1.1777708560727888E-016   9.7424540921682635E-012   1.0608733885407961E-002
  -13.784461152882205        1.5659766537982757E-016   1.1907210656060789E-011   1.0937827911532543E-002
  -13.684210526315789        2.0821392405770143E-016   1.4552968598152362E-011   1.1271182301619213E-002
