       t                    x1                   y1                  x2               y2                 E         I      
           0.81818182E-01           0.19999992E+02           0.16363603E-01           0.21000584E+02          -0.17881286E+00          -0.60168539E-03           0.80271820E-01
           0.16363636E+00           0.19999967E+02           0.32727130E-01           0.21001026E+02          -0.15760092E+00          -0.60168539E-03           0.80271820E-01
           0.24545455E+00           0.19999926E+02           0.49090570E-01           0.21001326E+02          -0.13636479E+00          -0.60168539E-03           0.80271820E-01
           0.32727273E+00           0.19999869E+02           0.65453910E-01           0.21001485E+02          -0.11510505E+00          -0.60168539E-03           0.80271820E-01
           0.40909091E+00           0.19999795E+02           0.81817138E-01           0.21001500E+02          -0.93822304E-01          -0.60168539E-03           0.80271820E-01
           0.49090909E+00           0.19999704E+02           0.98180241E-01           0.21001374E+02          -0.72517129E-01          -0.60168539E-03           0.80271820E-01
           0.57272727E+00           0.19999598E+02           0.11454321E+00           0.21001104E+02          -0.51190118E-01          -0.60168539E-03           0.80271820E-01
           0.65454545E+00           0.19999475E+02           0.13090603E+00           0.21000691E+02          -0.29841857E-01          -0.60168539E-03           0.80271820E-01
           0.73636364E+00           0.19999335E+02           0.14726868E+00           0.21000134E+02          -0.84729354E-02          -0.60168539E-03           0.80271820E-01
           0.81818182E+00           0.19999179E+02           0.16363117E+00           0.20999433E+02           0.12916061E-01          -0.60168539E-03           0.80271820E-01
           0.90000000E+00           0.19999007E+02           0.17999346E+00           0.20998587E+02           0.34324543E-01          -0.60168539E-03           0.80271820E-01
           0.98181818E+00           0.19998818E+02           0.19635556E+00           0.20997596E+02           0.55751921E-01          -0.60168539E-03           0.80271820E-01
           0.10636364E+01           0.19998613E+02           0.21271745E+00           0.20996460E+02           0.77197605E-01          -0.60168539E-03           0.80271820E-01
           0.11454545E+01           0.19998391E+02           0.22907912E+00           0.20995178E+02           0.98661001E-01          -0.60168539E-03           0.80271820E-01
           0.12272727E+01           0.19998153E+02           0.24544055E+00           0.20993749E+02           0.12014151E+00          -0.60168539E-03           0.80271820E-01
           0.13090909E+01           0.19997899E+02           0.26180174E+00           0.20992173E+02           0.14163854E+00          -0.60168539E-03           0.80271820E-01
           0.13909091E+01           0.19997628E+02           0.27816267E+00           0.20990450E+02           0.16315148E+00          -0.60168539E-03           0.80271820E-01
           0.14727273E+01           0.19997341E+02           0.29452332E+00           0.20988578E+02           0.18467972E+00          -0.60168539E-03           0.80271820E-01
           0.15545455E+01           0.19997037E+02           0.31088369E+00           0.20986557E+02           0.20622266E+00          -0.60168539E-03           0.80271820E-01
           0.16363636E+01           0.19996717E+02           0.32724377E+00           0.20984386E+02           0.22777967E+00          -0.60168539E-03           0.80271820E-01
           0.17181818E+01           0.19996381E+02           0.34360354E+00           0.20982065E+02           0.24935012E+00          -0.60168539E-03           0.80271820E-01
           0.18000000E+01           0.19996028E+02           0.35996299E+00           0.20979593E+02           0.27093340E+00          -0.60168539E-03           0.80271820E-01
           0.18818182E+01           0.19995659E+02           0.37632210E+00           0.20976969E+02           0.29252885E+00          -0.60168539E-03           0.80271820E-01
           0.19636364E+01           0.19995273E+02           0.39268087E+00           0.20974193E+02           0.31413583E+00          -0.60168539E-03           0.80271820E-01
           0.20454545E+01           0.19994871E+02           0.40903929E+00           0.20971262E+02           0.33575369E+00          -0.60168539E-03           0.80271820E-01
           0.21272727E+01           0.19994453E+02           0.42539734E+00           0.20968177E+02           0.35738176E+00          -0.60168539E-03           0.80271820E-01
           0.22090909E+01           0.19994018E+02           0.44175500E+00           0.20964937E+02           0.37901935E+00          -0.60168539E-03           0.80271820E-01
           0.22909091E+01           0.19993567E+02           0.45811228E+00           0.20961541E+02           0.40066579E+00          -0.60168539E-03           0.80271820E-01
           0.23727273E+01           0.19993099E+02           0.47446914E+00           0.20957987E+02           0.42232037E+00          -0.60168539E-03           0.80271820E-01
           0.24545455E+01           0.19992616E+02           0.49082560E+00           0.20954274E+02           0.44398239E+00          -0.60168539E-03           0.80271820E-01
           0.25363636E+01           0.19992115E+02           0.50718162E+00           0.20950403E+02           0.46565110E+00          -0.60168539E-03           0.80271820E-01
           0.26181818E+01           0.19991599E+02           0.52353721E+00           0.20946370E+02           0.48732578E+00          -0.60168539E-03           0.80271820E-01
           0.27000000E+01           0.19991066E+02           0.53989234E+00           0.20942176E+02           0.50900566E+00          -0.60168539E-03           0.80271820E-01
           0.27818182E+01           0.19990516E+02           0.55624701E+00           0.20937818E+02           0.53068996E+00          -0.60168539E-03           0.80271820E-01
           0.28636364E+01           0.19989951E+02           0.57260120E+00           0.20933297E+02           0.55237790E+00          -0.60168539E-03           0.80271820E-01
           0.29454545E+01           0.19989369E+02           0.58895491E+00           0.20928610E+02           0.57406866E+00          -0.60168539E-03           0.80271820E-01
           0.30272727E+01           0.19988770E+02           0.60530811E+00           0.20923756E+02           0.59576140E+00          -0.60168539E-03           0.80271820E-01
           0.31090909E+01           0.19988155E+02           0.62166081E+00           0.20918733E+02           0.61745526E+00          -0.60168539E-03           0.80271820E-01
           0.31909091E+01           0.19987524E+02           0.63801298E+00           0.20913540E+02           0.63914937E+00          -0.60168539E-03           0.80271820E-01
           0.32727273E+01           0.19986877E+02           0.65436462E+00           0.20908177E+02           0.66084283E+00          -0.60168539E-03           0.80271820E-01
           0.33545455E+01           0.19986213E+02           0.67071572E+00           0.20902640E+02           0.68253468E+00          -0.60168539E-03           0.80271820E-01
           0.34363636E+01           0.19985533E+02           0.68706626E+00           0.20896928E+02           0.70422398E+00          -0.60168539E-03           0.80271820E-01
           0.35181818E+01           0.19984837E+02           0.70341623E+00           0.20891040E+02           0.72590973E+00          -0.60168539E-03           0.80271820E-01
           0.36000000E+01           0.19984124E+02           0.71976562E+00           0.20884974E+02           0.74759090E+00          -0.60168539E-03           0.80271820E-01
           0.36818182E+01           0.19983395E+02           0.73611442E+00           0.20878728E+02           0.76926643E+00          -0.60168539E-03           0.80271820E-01
           0.37636364E+01           0.19982649E+02           0.75246262E+00           0.20872299E+02           0.79093522E+00          -0.60168539E-03           0.80271820E-01
           0.38454545E+01           0.19981888E+02           0.76881021E+00           0.20865687E+02           0.81259613E+00          -0.60168539E-03           0.80271820E-01
           0.39272727E+01           0.19981110E+02           0.78515718E+00           0.20858889E+02           0.83424798E+00          -0.60168539E-03           0.80271820E-01
           0.40090909E+01           0.19980315E+02           0.80150352E+00           0.20851902E+02           0.85588954E+00          -0.60168539E-03           0.80271820E-01
           0.40909091E+01           0.19979505E+02           0.81784921E+00           0.20844725E+02           0.87751953E+00          -0.60168539E-03           0.80271820E-01
           0.41727273E+01           0.19978678E+02           0.83419424E+00           0.20837354E+02           0.89913662E+00          -0.60168539E-03           0.80271820E-01
           0.42545455E+01           0.19977835E+02           0.85053862E+00           0.20829789E+02           0.92073943E+00          -0.60168539E-03           0.80271820E-01
           0.43363636E+01           0.19976975E+02           0.86688231E+00           0.20822025E+02           0.94232651E+00          -0.60168539E-03           0.80271820E-01
           0.44181818E+01           0.19976100E+02           0.88322533E+00           0.20814061E+02           0.96389634E+00          -0.60168539E-03           0.80271820E-01
