       t                    x1                   y1                  x2               y2                 E         I      
           0.10000000E+00           0.99318328E+00           0.10161900E+00           0.18167683E-02           0.10433627E+01          -0.20821074E+01           0.99999998E+00
           0.20000000E+00           0.97249737E+00           0.20590729E+00           0.75088418E-02           0.10738198E+01          -0.20821073E+01           0.99999995E+00
           0.30000000E+00           0.93748129E+00           0.31207945E+00           0.17575999E-01           0.10916007E+01          -0.20821062E+01           0.99999993E+00
           0.40000000E+00           0.88747042E+00           0.41948218E+00           0.32793774E-01           0.10965052E+01          -0.20821022E+01           0.99999995E+00
           0.50000000E+00           0.82142104E+00           0.52771312E+00           0.54432422E-01           0.10878212E+01          -0.20820866E+01           0.10000001E+01
           0.60000000E+00           0.73742928E+00           0.63690361E+00           0.84782517E-01           0.10640723E+01          -0.20820043E+01           0.10000005E+01
           0.70000000E+00           0.63116042E+00           0.74845608E+00           0.12875801E+00           0.10223170E+01          -0.20811835E+01           0.10000013E+01
           0.80000000E+00           0.48804262E+00           0.86756655E+00           0.20168516E+00           0.95568006E+00          -0.20383319E+01           0.99994626E+00
           0.90000000E+00           0.42871164E-01           0.92234602E+00           0.56950599E+00           0.93437291E+00           0.38020335E+02           0.93556697E+00
           0.10000000E+01          -0.63293137E+00           0.89253239E+00           0.11637175E+01           0.97988717E+00           0.37897863E+02           0.93558011E+00
           0.11000000E+01          -0.13004909E+01           0.85585130E+00           0.17505597E+01           0.10222095E+01           0.37897499E+02           0.93557973E+00
           0.12000000E+01          -0.19633998E+01           0.81671078E+00           0.23340919E+01           0.10631684E+01           0.37897472E+02           0.93557969E+00
           0.13000000E+01          -0.26236498E+01           0.77668188E+00           0.29156541E+01           0.11034394E+01           0.37897456E+02           0.93557968E+00
           0.14000000E+01          -0.32822590E+01           0.73627167E+00           0.34959084E+01           0.11433162E+01           0.37897450E+02           0.93557968E+00
           0.15000000E+01          -0.39397718E+01           0.69567333E+00           0.40752325E+01           0.11829453E+01           0.37897447E+02           0.93557968E+00
           0.16000000E+01          -0.45965052E+01           0.65497256E+00           0.46538623E+01           0.12224076E+01           0.37897446E+02           0.93557968E+00
