                t                    x1                   y1               x2             y2               E    
           0.40000000E-01                      NaN                      NaN                      NaN                      NaN                -Infinity
           0.80000000E-01                      NaN                      NaN                      NaN                      NaN                -Infinity
           0.12000000E+00                      NaN                      NaN                      NaN                      NaN                -Infinity
           0.16000000E+00                      NaN                      NaN                      NaN                      NaN                -Infinity
           0.20000000E+00                      NaN                      NaN                      NaN                      NaN                -Infinity
           0.24000000E+00                      NaN                      NaN                      NaN                      NaN                -Infinity
           0.28000000E+00                      NaN                      NaN                      NaN                      NaN                -Infinity
           0.32000000E+00                      NaN                      NaN                      NaN                      NaN                -Infinity
           0.36000000E+00                      NaN                      NaN                      NaN                      NaN                -Infinity
           0.40000000E+00                      NaN                      NaN                      NaN                      NaN                -Infinity
           0.44000000E+00                      NaN                      NaN                      NaN                      NaN                -Infinity
           0.48000000E+00                      NaN                      NaN                      NaN                      NaN                -Infinity
           0.52000000E+00                      NaN                      NaN                      NaN                      NaN                -Infinity
           0.56000000E+00                      NaN                      NaN                      NaN                      NaN                -Infinity
           0.60000000E+00                      NaN                      NaN                      NaN                      NaN                -Infinity
           0.64000000E+00                      NaN                      NaN                      NaN                      NaN                -Infinity
           0.68000000E+00                      NaN                      NaN                      NaN                      NaN                -Infinity
           0.72000000E+00                      NaN                      NaN                      NaN                      NaN                -Infinity
           0.76000000E+00                      NaN                      NaN                      NaN                      NaN                -Infinity
           0.80000000E+00                      NaN                      NaN                      NaN                      NaN                -Infinity
           0.84000000E+00                      NaN                      NaN                      NaN                      NaN                -Infinity
           0.88000000E+00                      NaN                      NaN                      NaN                      NaN                -Infinity
           0.92000000E+00                      NaN                      NaN                      NaN                      NaN                -Infinity
           0.96000000E+00                      NaN                      NaN                      NaN                      NaN                -Infinity
           0.10000000E+01                      NaN                      NaN                      NaN                      NaN                -Infinity
           0.10400000E+01                      NaN                      NaN                      NaN                      NaN                -Infinity
           0.10800000E+01                      NaN                      NaN                      NaN                      NaN                -Infinity
           0.11200000E+01                      NaN                      NaN                      NaN                      NaN                -Infinity
           0.11600000E+01                      NaN                      NaN                      NaN                      NaN                -Infinity
           0.12000000E+01                      NaN                      NaN                      NaN                      NaN                -Infinity
           0.12400000E+01                      NaN                      NaN                      NaN                      NaN                -Infinity
           0.12800000E+01                      NaN                      NaN                      NaN                      NaN                -Infinity
           0.13200000E+01                      NaN                      NaN                      NaN                      NaN                -Infinity
           0.13600000E+01                      NaN                      NaN                      NaN                      NaN                -Infinity
           0.14000000E+01                      NaN                      NaN                      NaN                      NaN                -Infinity
           0.14400000E+01                      NaN                      NaN                      NaN                      NaN                -Infinity
           0.14800000E+01                      NaN                      NaN                      NaN                      NaN                -Infinity
           0.15200000E+01                      NaN                      NaN                      NaN                      NaN                -Infinity
           0.15600000E+01                      NaN                      NaN                      NaN                      NaN                -Infinity
           0.16000000E+01                      NaN                      NaN                      NaN                      NaN                -Infinity
           0.16400000E+01                      NaN                      NaN                      NaN                      NaN                -Infinity
           0.16800000E+01                      NaN                      NaN                      NaN                      NaN                -Infinity
           0.17200000E+01                      NaN                      NaN                      NaN                      NaN                -Infinity
           0.17600000E+01                      NaN                      NaN                      NaN                      NaN                -Infinity
           0.18000000E+01                      NaN                      NaN                      NaN                      NaN                -Infinity
           0.18400000E+01                      NaN                      NaN                      NaN                      NaN                -Infinity
           0.18800000E+01                      NaN                      NaN                      NaN                      NaN                -Infinity
           0.19200000E+01                      NaN                      NaN                      NaN                      NaN                -Infinity
           0.19600000E+01                      NaN                      NaN                      NaN                      NaN                -Infinity
           0.20000000E+01                      NaN                      NaN                      NaN                      NaN                -Infinity
           0.20400000E+01                      NaN                      NaN                      NaN                      NaN                -Infinity
           0.20800000E+01                      NaN                      NaN                      NaN                      NaN                -Infinity
           0.21200000E+01                      NaN                      NaN                      NaN                      NaN                -Infinity
           0.21600000E+01                      NaN                      NaN                      NaN                      NaN                -Infinity
           0.22000000E+01                      NaN                      NaN                      NaN                      NaN                -Infinity
           0.22400000E+01                      NaN                      NaN                      NaN                      NaN                -Infinity
           0.22800000E+01                      NaN                      NaN                      NaN                      NaN                -Infinity
           0.23200000E+01                      NaN                      NaN                      NaN                      NaN                -Infinity
           0.23600000E+01                      NaN                      NaN                      NaN                      NaN                -Infinity
           0.24000000E+01                      NaN                      NaN                      NaN                      NaN                -Infinity
           0.24400000E+01                      NaN                      NaN                      NaN                      NaN                -Infinity
           0.24800000E+01                      NaN                      NaN                      NaN                      NaN                -Infinity
           0.25200000E+01                      NaN                      NaN                      NaN                      NaN                -Infinity
           0.25600000E+01                      NaN                      NaN                      NaN                      NaN                -Infinity
           0.26000000E+01                      NaN                      NaN                      NaN                      NaN                -Infinity
           0.26400000E+01                      NaN                      NaN                      NaN                      NaN                -Infinity
           0.26800000E+01                      NaN                      NaN                      NaN                      NaN                -Infinity
           0.27200000E+01                      NaN                      NaN                      NaN                      NaN                -Infinity
           0.27600000E+01                      NaN                      NaN                      NaN                      NaN                -Infinity
           0.28000000E+01                      NaN                      NaN                      NaN                      NaN                -Infinity
           0.28400000E+01                      NaN                      NaN                      NaN                      NaN                -Infinity
           0.28800000E+01                      NaN                      NaN                      NaN                      NaN                -Infinity
           0.29200000E+01                      NaN                      NaN                      NaN                      NaN                -Infinity
           0.29600000E+01                      NaN                      NaN                      NaN                      NaN                -Infinity
           0.30000000E+01                      NaN                      NaN                      NaN                      NaN                -Infinity
           0.30400000E+01                      NaN                      NaN                      NaN                      NaN                -Infinity
           0.30800000E+01                      NaN                      NaN                      NaN                      NaN                -Infinity
           0.31200000E+01                      NaN                      NaN                      NaN                      NaN                -Infinity
           0.31600000E+01                      NaN                      NaN                      NaN                      NaN                -Infinity
           0.32000000E+01                      NaN                      NaN                      NaN                      NaN                -Infinity
           0.32400000E+01                      NaN                      NaN                      NaN                      NaN                -Infinity
           0.32800000E+01                      NaN                      NaN                      NaN                      NaN                -Infinity
           0.33200000E+01                      NaN                      NaN                      NaN                      NaN                -Infinity
           0.33600000E+01                      NaN                      NaN                      NaN                      NaN                -Infinity
           0.34000000E+01                      NaN                      NaN                      NaN                      NaN                -Infinity
           0.34400000E+01                      NaN                      NaN                      NaN                      NaN                -Infinity
           0.34800000E+01                      NaN                      NaN                      NaN                      NaN                -Infinity
           0.35200000E+01                      NaN                      NaN                      NaN                      NaN                -Infinity
           0.35600000E+01                      NaN                      NaN                      NaN                      NaN                -Infinity
           0.36000000E+01                      NaN                      NaN                      NaN                      NaN                -Infinity
           0.36400000E+01                      NaN                      NaN                      NaN                      NaN                -Infinity
           0.36800000E+01                      NaN                      NaN                      NaN                      NaN                -Infinity
           0.37200000E+01                      NaN                      NaN                      NaN                      NaN                -Infinity
           0.37600000E+01                      NaN                      NaN                      NaN                      NaN                -Infinity
           0.38000000E+01                      NaN                      NaN                      NaN                      NaN                -Infinity
           0.38400000E+01                      NaN                      NaN                      NaN                      NaN                -Infinity
           0.38800000E+01                      NaN                      NaN                      NaN                      NaN                -Infinity
           0.39200000E+01                      NaN                      NaN                      NaN                      NaN                -Infinity
           0.39600000E+01                      NaN                      NaN                      NaN                      NaN                -Infinity
           0.40000000E+01                      NaN                      NaN                      NaN                      NaN                -Infinity
           0.40400000E+01                      NaN                      NaN                      NaN                      NaN                -Infinity
           0.40800000E+01                      NaN                      NaN                      NaN                      NaN                -Infinity
           0.41200000E+01                      NaN                      NaN                      NaN                      NaN                -Infinity
           0.41600000E+01                      NaN                      NaN                      NaN                      NaN                -Infinity
           0.42000000E+01                      NaN                      NaN                      NaN                      NaN                -Infinity
           0.42400000E+01                      NaN                      NaN                      NaN                      NaN                -Infinity
           0.42800000E+01                      NaN                      NaN                      NaN                      NaN                -Infinity
           0.43200000E+01                      NaN                      NaN                      NaN                      NaN                -Infinity
           0.43600000E+01                      NaN                      NaN                      NaN                      NaN                -Infinity
           0.44000000E+01                      NaN                      NaN                      NaN                      NaN                -Infinity
           0.44400000E+01                      NaN                      NaN                      NaN                      NaN                -Infinity
           0.44800000E+01                      NaN                      NaN                      NaN                      NaN                -Infinity
           0.45200000E+01                      NaN                      NaN                      NaN                      NaN                -Infinity
           0.45600000E+01                      NaN                      NaN                      NaN                      NaN                -Infinity
           0.46000000E+01                      NaN                      NaN                      NaN                      NaN                -Infinity
           0.46400000E+01                      NaN                      NaN                      NaN                      NaN                -Infinity
           0.46800000E+01                      NaN                      NaN                      NaN                      NaN                -Infinity
           0.47200000E+01                      NaN                      NaN                      NaN                      NaN                -Infinity
           0.47600000E+01                      NaN                      NaN                      NaN                      NaN                -Infinity
           0.48000000E+01                      NaN                      NaN                      NaN                      NaN                -Infinity
           0.48400000E+01                      NaN                      NaN                      NaN                      NaN                -Infinity
           0.48800000E+01                      NaN                      NaN                      NaN                      NaN                -Infinity
           0.49200000E+01                      NaN                      NaN                      NaN                      NaN                -Infinity
           0.49600000E+01                      NaN                      NaN                      NaN                      NaN                -Infinity
           0.50000000E+01                      NaN                      NaN                      NaN                      NaN                -Infinity
           0.50400000E+01                      NaN                      NaN                      NaN                      NaN                -Infinity
           0.50800000E+01                      NaN                      NaN                      NaN                      NaN                -Infinity
           0.51200000E+01                      NaN                      NaN                      NaN                      NaN                -Infinity
           0.51600000E+01                      NaN                      NaN                      NaN                      NaN                -Infinity
           0.52000000E+01                      NaN                      NaN                      NaN                      NaN                -Infinity
           0.52400000E+01                      NaN                      NaN                      NaN                      NaN                -Infinity
           0.52800000E+01                      NaN                      NaN                      NaN                      NaN                -Infinity
           0.53200000E+01                      NaN                      NaN                      NaN                      NaN                -Infinity
           0.53600000E+01                      NaN                      NaN                      NaN                      NaN                -Infinity
           0.54000000E+01                      NaN                      NaN                      NaN                      NaN                -Infinity
           0.54400000E+01                      NaN                      NaN                      NaN                      NaN                -Infinity
           0.54800000E+01                      NaN                      NaN                      NaN                      NaN                -Infinity
           0.55200000E+01                      NaN                      NaN                      NaN                      NaN                -Infinity
           0.55600000E+01                      NaN                      NaN                      NaN                      NaN                -Infinity
           0.56000000E+01                      NaN                      NaN                      NaN                      NaN                -Infinity
           0.56400000E+01                      NaN                      NaN                      NaN                      NaN                -Infinity
           0.56800000E+01                      NaN                      NaN                      NaN                      NaN                -Infinity
           0.57200000E+01                      NaN                      NaN                      NaN                      NaN                -Infinity
           0.57600000E+01                      NaN                      NaN                      NaN                      NaN                -Infinity
           0.58000000E+01                      NaN                      NaN                      NaN                      NaN                -Infinity
           0.58400000E+01                      NaN                      NaN                      NaN                      NaN                -Infinity
           0.58800000E+01                      NaN                      NaN                      NaN                      NaN                -Infinity
           0.59200000E+01                      NaN                      NaN                      NaN                      NaN                -Infinity
           0.59600000E+01                      NaN                      NaN                      NaN                      NaN                -Infinity
           0.60000000E+01                      NaN                      NaN                      NaN                      NaN                -Infinity
           0.60400000E+01                      NaN                      NaN                      NaN                      NaN                -Infinity
           0.60800000E+01                      NaN                      NaN                      NaN                      NaN                -Infinity
           0.61200000E+01                      NaN                      NaN                      NaN                      NaN                -Infinity
           0.61600000E+01                      NaN                      NaN                      NaN                      NaN                -Infinity
           0.62000000E+01                      NaN                      NaN                      NaN                      NaN                -Infinity
           0.62400000E+01                      NaN                      NaN                      NaN                      NaN                -Infinity
           0.62800000E+01                      NaN                      NaN                      NaN                      NaN                -Infinity
           0.63200000E+01                      NaN                      NaN                      NaN                      NaN                -Infinity
           0.63600000E+01                      NaN                      NaN                      NaN                      NaN                -Infinity
           0.64000000E+01                      NaN                      NaN                      NaN                      NaN                -Infinity
           0.64400000E+01                      NaN                      NaN                      NaN                      NaN                -Infinity
           0.64800000E+01                      NaN                      NaN                      NaN                      NaN                -Infinity
           0.65200000E+01                      NaN                      NaN                      NaN                      NaN                -Infinity
           0.65600000E+01                      NaN                      NaN                      NaN                      NaN                -Infinity
           0.66000000E+01                      NaN                      NaN                      NaN                      NaN                -Infinity
           0.66400000E+01                      NaN                      NaN                      NaN                      NaN                -Infinity
           0.66800000E+01                      NaN                      NaN                      NaN                      NaN                -Infinity
           0.67200000E+01                      NaN                      NaN                      NaN                      NaN                -Infinity
           0.67600000E+01                      NaN                      NaN                      NaN                      NaN                -Infinity
           0.68000000E+01                      NaN                      NaN                      NaN                      NaN                -Infinity
           0.68400000E+01                      NaN                      NaN                      NaN                      NaN                -Infinity
           0.68800000E+01                      NaN                      NaN                      NaN                      NaN                -Infinity
           0.69200000E+01                      NaN                      NaN                      NaN                      NaN                -Infinity
           0.69600000E+01                      NaN                      NaN                      NaN                      NaN                -Infinity
           0.70000000E+01                      NaN                      NaN                      NaN                      NaN                -Infinity
           0.70400000E+01                      NaN                      NaN                      NaN                      NaN                -Infinity
           0.70800000E+01                      NaN                      NaN                      NaN                      NaN                -Infinity
           0.71200000E+01                      NaN                      NaN                      NaN                      NaN                -Infinity
           0.71600000E+01                      NaN                      NaN                      NaN                      NaN                -Infinity
           0.72000000E+01                      NaN                      NaN                      NaN                      NaN                -Infinity
           0.72400000E+01                      NaN                      NaN                      NaN                      NaN                -Infinity
           0.72800000E+01                      NaN                      NaN                      NaN                      NaN                -Infinity
           0.73200000E+01                      NaN                      NaN                      NaN                      NaN                -Infinity
           0.73600000E+01                      NaN                      NaN                      NaN                      NaN                -Infinity
           0.74000000E+01                      NaN                      NaN                      NaN                      NaN                -Infinity
           0.74400000E+01                      NaN                      NaN                      NaN                      NaN                -Infinity
           0.74800000E+01                      NaN                      NaN                      NaN                      NaN                -Infinity
           0.75200000E+01                      NaN                      NaN                      NaN                      NaN                -Infinity
           0.75600000E+01                      NaN                      NaN                      NaN                      NaN                -Infinity
           0.76000000E+01                      NaN                      NaN                      NaN                      NaN                -Infinity
           0.76400000E+01                      NaN                      NaN                      NaN                      NaN                -Infinity
           0.76800000E+01                      NaN                      NaN                      NaN                      NaN                -Infinity
           0.77200000E+01                      NaN                      NaN                      NaN                      NaN                -Infinity
           0.77600000E+01                      NaN                      NaN                      NaN                      NaN                -Infinity
           0.78000000E+01                      NaN                      NaN                      NaN                      NaN                -Infinity
           0.78400000E+01                      NaN                      NaN                      NaN                      NaN                -Infinity
           0.78800000E+01                      NaN                      NaN                      NaN                      NaN                -Infinity
           0.79200000E+01                      NaN                      NaN                      NaN                      NaN                -Infinity
           0.79600000E+01                      NaN                      NaN                      NaN                      NaN                -Infinity
           0.80000000E+01                      NaN                      NaN                      NaN                      NaN                -Infinity
           0.80400000E+01                      NaN                      NaN                      NaN                      NaN                -Infinity
           0.80800000E+01                      NaN                      NaN                      NaN                      NaN                -Infinity
           0.81200000E+01                      NaN                      NaN                      NaN                      NaN                -Infinity
           0.81600000E+01                      NaN                      NaN                      NaN                      NaN                -Infinity
           0.82000000E+01                      NaN                      NaN                      NaN                      NaN                -Infinity
           0.82400000E+01                      NaN                      NaN                      NaN                      NaN                -Infinity
           0.82800000E+01                      NaN                      NaN                      NaN                      NaN                -Infinity
           0.83200000E+01                      NaN                      NaN                      NaN                      NaN                -Infinity
           0.83600000E+01                      NaN                      NaN                      NaN                      NaN                -Infinity
           0.84000000E+01                      NaN                      NaN                      NaN                      NaN                -Infinity
           0.84400000E+01                      NaN                      NaN                      NaN                      NaN                -Infinity
           0.84800000E+01                      NaN                      NaN                      NaN                      NaN                -Infinity
           0.85200000E+01                      NaN                      NaN                      NaN                      NaN                -Infinity
           0.85600000E+01                      NaN                      NaN                      NaN                      NaN                -Infinity
           0.86000000E+01                      NaN                      NaN                      NaN                      NaN                -Infinity
           0.86400000E+01                      NaN                      NaN                      NaN                      NaN                -Infinity
           0.86800000E+01                      NaN                      NaN                      NaN                      NaN                -Infinity
           0.87200000E+01                      NaN                      NaN                      NaN                      NaN                -Infinity
           0.87600000E+01                      NaN                      NaN                      NaN                      NaN                -Infinity
           0.88000000E+01                      NaN                      NaN                      NaN                      NaN                -Infinity
           0.88400000E+01                      NaN                      NaN                      NaN                      NaN                -Infinity
           0.88800000E+01                      NaN                      NaN                      NaN                      NaN                -Infinity
           0.89200000E+01                      NaN                      NaN                      NaN                      NaN                -Infinity
           0.89600000E+01                      NaN                      NaN                      NaN                      NaN                -Infinity
           0.90000000E+01                      NaN                      NaN                      NaN                      NaN                -Infinity
           0.90400000E+01                      NaN                      NaN                      NaN                      NaN                -Infinity
           0.90800000E+01                      NaN                      NaN                      NaN                      NaN                -Infinity
           0.91200000E+01                      NaN                      NaN                      NaN                      NaN                -Infinity
           0.91600000E+01                      NaN                      NaN                      NaN                      NaN                -Infinity
           0.92000000E+01                      NaN                      NaN                      NaN                      NaN                -Infinity
           0.92400000E+01                      NaN                      NaN                      NaN                      NaN                -Infinity
           0.92800000E+01                      NaN                      NaN                      NaN                      NaN                -Infinity
           0.93200000E+01                      NaN                      NaN                      NaN                      NaN                -Infinity
           0.93600000E+01                      NaN                      NaN                      NaN                      NaN                -Infinity
           0.94000000E+01                      NaN                      NaN                      NaN                      NaN                -Infinity
           0.94400000E+01                      NaN                      NaN                      NaN                      NaN                -Infinity
           0.94800000E+01                      NaN                      NaN                      NaN                      NaN                -Infinity
           0.95200000E+01                      NaN                      NaN                      NaN                      NaN                -Infinity
           0.95600000E+01                      NaN                      NaN                      NaN                      NaN                -Infinity
           0.96000000E+01                      NaN                      NaN                      NaN                      NaN                -Infinity
           0.96400000E+01                      NaN                      NaN                      NaN                      NaN                -Infinity
           0.96800000E+01                      NaN                      NaN                      NaN                      NaN                -Infinity
           0.97200000E+01                      NaN                      NaN                      NaN                      NaN                -Infinity
           0.97600000E+01                      NaN                      NaN                      NaN                      NaN                -Infinity
           0.98000000E+01                      NaN                      NaN                      NaN                      NaN                -Infinity
           0.98400000E+01                      NaN                      NaN                      NaN                      NaN                -Infinity
           0.98800000E+01                      NaN                      NaN                      NaN                      NaN                -Infinity
           0.99200000E+01                      NaN                      NaN                      NaN                      NaN                -Infinity
           0.99600000E+01                      NaN                      NaN                      NaN                      NaN                -Infinity
           0.10000000E+02                      NaN                      NaN                      NaN                      NaN                -Infinity
           0.10040000E+02                      NaN                      NaN                      NaN                      NaN                -Infinity
           0.10080000E+02                      NaN                      NaN                      NaN                      NaN                -Infinity
           0.10120000E+02                      NaN                      NaN                      NaN                      NaN                -Infinity
           0.10160000E+02                      NaN                      NaN                      NaN                      NaN                -Infinity
           0.10200000E+02                      NaN                      NaN                      NaN                      NaN                -Infinity
           0.10240000E+02                      NaN                      NaN                      NaN                      NaN                -Infinity
           0.10280000E+02                      NaN                      NaN                      NaN                      NaN                -Infinity
           0.10320000E+02                      NaN                      NaN                      NaN                      NaN                -Infinity
           0.10360000E+02                      NaN                      NaN                      NaN                      NaN                -Infinity
           0.10400000E+02                      NaN                      NaN                      NaN                      NaN                -Infinity
           0.10440000E+02                      NaN                      NaN                      NaN                      NaN                -Infinity
           0.10480000E+02                      NaN                      NaN                      NaN                      NaN                -Infinity
           0.10520000E+02                      NaN                      NaN                      NaN                      NaN                -Infinity
           0.10560000E+02                      NaN                      NaN                      NaN                      NaN                -Infinity
           0.10600000E+02                      NaN                      NaN                      NaN                      NaN                -Infinity
           0.10640000E+02                      NaN                      NaN                      NaN                      NaN                -Infinity
           0.10680000E+02                      NaN                      NaN                      NaN                      NaN                -Infinity
           0.10720000E+02                      NaN                      NaN                      NaN                      NaN                -Infinity
           0.10760000E+02                      NaN                      NaN                      NaN                      NaN                -Infinity
           0.10800000E+02                      NaN                      NaN                      NaN                      NaN                -Infinity
           0.10840000E+02                      NaN                      NaN                      NaN                      NaN                -Infinity
           0.10880000E+02                      NaN                      NaN                      NaN                      NaN                -Infinity
           0.10920000E+02                      NaN                      NaN                      NaN                      NaN                -Infinity
           0.10960000E+02                      NaN                      NaN                      NaN                      NaN                -Infinity
           0.11000000E+02                      NaN                      NaN                      NaN                      NaN                -Infinity
           0.11040000E+02                      NaN                      NaN                      NaN                      NaN                -Infinity
           0.11080000E+02                      NaN                      NaN                      NaN                      NaN                -Infinity
           0.11120000E+02                      NaN                      NaN                      NaN                      NaN                -Infinity
           0.11160000E+02                      NaN                      NaN                      NaN                      NaN                -Infinity
           0.11200000E+02                      NaN                      NaN                      NaN                      NaN                -Infinity
           0.11240000E+02                      NaN                      NaN                      NaN                      NaN                -Infinity
           0.11280000E+02                      NaN                      NaN                      NaN                      NaN                -Infinity
           0.11320000E+02                      NaN                      NaN                      NaN                      NaN                -Infinity
           0.11360000E+02                      NaN                      NaN                      NaN                      NaN                -Infinity
           0.11400000E+02                      NaN                      NaN                      NaN                      NaN                -Infinity
